user_prompt,url_to_check,func_rating,custom_rating
What are the symptoms of COVID-19?,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963,2,4
How effective is the flu vaccine this year?,https://www.flu.com/Articles/2024/2024-2025-Flu-Vaccine-Effectiveness,2,3
What are the causes of global warming?,https://www.nrdc.org/stories/global-warming-101,2,4
How does exercise affect mental health?,https://www.betterhealth.vic.gov.au/health/healthyliving/exercise-and-mental-health,3,3
What are the benefits of meditation?,https://health.ucdavis.edu/blog/cultivating-health/10-health-benefits-of-meditation-and-how-to-focus-on-mindfulness-and-compassion/2022/12,2,3
How do vaccines work?,https://www.cdc.gov/vaccines/basics/explaining-how-vaccines-work.html#:~:text=Vaccines%20work%20by%20imitating%20anvaccines%20at%20the%20recommended%20times.,2,4
What is artificial intelligence?,https://www.ibm.com/think/topics/artificial-intelligence,2,4
What are the side effects of the COVID-19 vaccine?,https://www.cdc.gov/vaccine-safety/vaccines/covid-19.html,2,3
How to reduce stress at work?,https://www.mind.org.uk/information-support/tips-for-everyday-living/how-to-be-mentally-healthy-at-work/work-and-stress/,2,3
What are the signs of depression?,https://www.samhsa.gov/,2,2
How to prevent heart disease?,https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/heart-disease-prevention/art-20046502,3,4
What is quantum computing?,https://www.ibm.com/think/topics/quantum-computing,2,4
What is the best diet for weight loss?,https://www.health.harvard.edu/topics/diet-and-weight-loss,2,3
How does climate change affect wildlife?,https://www.nps.gov/articles/000/wildlife-climateimpact.htm,2,4
What are the symptoms of anxiety?,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,2,4
How to improve sleep quality?,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/sleep/art-20048379,3,3
What are the symptoms of the flu?,https://www.cdc.gov/flu/signs-symptoms/index.html,2,4
What is the difference between Type 1 and Type 2 diabetes?,https://uvahealth.com/services/diabetes-care/types,3,3
How to manage time effectively?,https://slack.com/blog/productivity/time-management-tips-at-work,2,2
What is the impact of social media on teenagers?,https://www.yalemedicine.org/news/social-media-teen-mental-health-a-parents-guide,2,3
